fid,NIC,CT,Circuito,kW INSTALA,kWp INSTAL,X1,Y1,TECH,DSSName,KVA,CURVE1,CURVE2,LV_GROUP,CARGAS_BT_,CARGAS_B_1
206,8254768,153423,VOLG101,0,9.18,19.44821,-70.66158,PV,,8.345,Irr.txt,TEMPPV.txt,0,325573,2151264
190,8162753,153423,VOLG101,9.8,10.925,19.44849,-70.66142,PV,,9.932,Irr.txt,TEMPPV.txt,0,325591,2151295
188,8161796,153429,VOLG101,0,10.14,19.44695,-70.66132,PV,,9.218,Irr.txt,TEMPPV.txt,0,325599,2151125
120,6348358,153429,VOLG101,16,18.88,19.44728,-70.66075,PV,,17.164,Irr.txt,TEMPPV.txt,0,325659,2151161
267,8490994,153430,VOLG101,0,11.7,19.44674,-70.66033,PV,,10.636,Irr.txt,TEMPPV.txt,0,325703,2151100
180,8150939,153430,VOLG101,0,19.17,19.44682,-70.66027,PV,,17.427,Irr.txt,TEMPPV.txt,0,325709,2151109
223,8377300,153404,VOLG101,0,10,19.44846,-70.66007,PV,,9.091,Irr.txt,TEMPPV.txt,0,325732,2151291
158,8057509,172731,VOLG101,6.93,7,19.44995,-70.65998,PV,,6.364,Irr.txt,TEMPPV.txt,0,325743,2151456
71,6101073,153405,VOLG101,18.095,18,19.44825,-70.65983,PV,,16.364,Irr.txt,TEMPPV.txt,0,325757,2151267
181,8150942,153405,VOLG101,0,9.95,19.44833,-70.65979,PV,,9.045,Irr.txt,TEMPPV.txt,0,325761,2151276
163,8071330,153431,VOLG101,0,6.93,19.4466,-70.65973,PV,,6.3,Irr.txt,TEMPPV.txt,0,325766,2151084
305,8636254,153405,VOLG101,0,10.14,19.44804,-70.65973,PV,,9.218,Irr.txt,TEMPPV.txt,0,325767,2151244
174,8111945,153404,VOLG101,0,11.47,19.4498,-70.65958,PV,,10.427,Irr.txt,TEMPPV.txt,0,325785,2151438
177,8130329,153405,VOLG101,0,12.1,19.44818,-70.65949,PV,,11,Irr.txt,TEMPPV.txt,0,325793,2151259
240,8417930,153431,VOLG101,0,3.9,19.44648,-70.65935,PV,,3.545,Irr.txt,TEMPPV.txt,0,325806,2151071
216,8319826,153404,VOLG101,17,19.035,19.44996,-70.65933,PV,,17.305,Irr.txt,TEMPPV.txt,0,325811,2151456
